num,HS_GPA,SAT_Verbal,SAT_Math,EcolEvol,GenChemistry,Calculus1,Physics1,CellBiology,OrgChemistry,Calculus2,Physics2,FinalGPA,Gender
326,4.4,530,670,3,3,2.7,3,2.7,3.4,4,3.4,3.304,MALE
327,4.3,800,800,4,4,4,3,3,2.7,4,4,3.713,FEMALE
328,4.3,800,800,4,4,4,3,3,2.7,4,4,3.713,FEMALE
329,4.03,610,740,2,4,3,3,2.4,2.4,2.7,2.7,3.163,FEMALE
330,4.03,610,740,2,4,3,3,2.4,2.4,2.7,2.7,3.163,FEMALE
331,4,690,630,3,3,3,3,3.7,4,3.4,3.4,3.636,FEMALE
332,4.2,690,780,3,3.4,3.7,3.7,2,2.4,4,3.7,3.086,MALE
333,4.63,720,660,2.4,3,2.7,2.7,0,0,2,2,2.13,FEMALE
334,4.62,700,780,4,3.4,3,4,3.7,3.4,2.7,3.4,3.4,MALE
335,4.57,700,800,4,4,4,4,4,4,3.7,4,3.974,FEMALE
336,4.13,610,650,3,3.4,1.7,3,2.4,3,3,3.4,3.471,FEMALE
337,4.13,610,650,3,3.4,1.7,3,2.4,3,3,3.4,3.471,FEMALE
338,4.47,700,740,3,3.4,2.7,3.4,3,3,3.4,3,3.362,FEMALE
339,4.47,700,740,3,3.4,2.7,3.4,3,3,3.4,3,3.362,FEMALE
340,4.31,680,660,2.4,4,2,2.4,2,2.4,2,0,2.735,MALE
341,3.96,360,560,2.4,3.4,3.4,3,2.4,3.7,3,3,3.314,FEMALE
342,4.5,620,760,3,3.7,4,3.4,2.4,2.4,3.7,2,3.205,FEMALE
343,4.37,540,730,3,4,3.7,2.7,2.7,3,3,3.7,3.657,FEMALE
344,4.32,520,640,2.7,3.4,3,3,3,4,3.7,3.4,3.455,MALE
345,4.46,600,670,3,3,3,2.4,1.7,2,3.4,3,2.827,MALE
346,4.18,630,570,3.4,3,2,2,3.7,3.7,2,3.4,3.422,MALE
347,4.37,660,740,3.4,3.4,3,3.4,4,3.4,2,3.4,3.592,MALE
348,4.3,710,770,3.4,3,1.7,3.4,3,2.4,3,2,3.102,FEMALE
349,4.5,700,700,2.7,3,2.7,2.7,2,2,1,2.7,2.851,FEMALE
350,4.72,610,650,4,3.7,3,3.4,3,3.7,3.7,3.4,3.751,MALE
351,4.12,450,780,0,1.7,2.4,1,2,1.7,0,2,2.105,FEMALE
352,4.22,700,780,3.4,3.4,4,3.7,1.4,2,3,1.7,2.322,FEMALE
